city,lat,lon
Paris,48.8588897,2.3200410217200766
Marseille,43.2961743,5.3699525
Lyon,45.7578137,4.8320114
Toulouse,43.6044622,1.4442469
Nice,43.7009358,7.2683912
Nantes,47.2186371,-1.5541362
Strasbourg,48.584614,7.7507127
Montpellier,43.6112422,3.8767337
Bordeaux,44.841225,-0.5800364
Lille,50.6365654,3.0635282
Rennes,48.1113387,-1.6800198
Reims,49.2577886,4.031926
Saint-Étienne,45.4401467,4.3873058
Toulon,43.1257311,5.9304919
Grenoble,45.1875602,5.7357819
Dijon,47.3215806,5.0414701
Angers,47.4739884,-0.5515588
Nîmes,43.8374249,4.3600687
Villeurbanne,45.7733573,4.8868454
Clermont-Ferrand,45.7774551,3.0819427
Le Havre,49.4938975,0.1079732
Aix-en-Provence,43.5298424,5.4474738
Brest,48.3905283,-4.4860088
Limoges,45.8354243,1.2644847
Tours,47.3900474,0.6889268
Amiens,49.8941708,2.2956951
Metz,49.1196964,6.1763552
Perpignan,42.6985304,2.8953121
Besançon,47.2380222,6.0243622
Orléans,47.9027336,1.9086066
Rouen,49.4404591,1.0939658
Mulhouse,47.7467233,7.3389937
Caen,49.1813403,-0.3635615
Nancy,48.6937223,6.1834097
Argenteuil,48.9479069,2.2481797
